alte_url;klicks;impressionen;top_suchanfragen;vorschlag;bewertung;deine_entscheidung
/notarkosten-grundbuchkosten;1;4372;;/finanzen/geldanlagen/anlageimmobilie;schwach - Thema Immobilienkauf, aber kein Artikel zu Kaufnebenkosten;
/bauzinsen;0;2883;bauzinsen chart (287);/finanzen/kredite-bauen/kredite;mittel - Oberthema Kredite passt, Bauzinsen selbst fehlt;
/grundrente;11;2820;grundrente (737);;LEITET BEREITS WEITER - nichts zu tun;
/foerdermittel-neubau-und-sanierung;0;2143;;;LEITET BEREITS WEITER (kfw-foerderung);
/flexirente;10;1727;flexirente (512);/finanztools/rechner/flexrente;STARK - Flexrentenrechner existiert;
/interhyp;0;1709;;/finanzen/kredite-bauen/kredite;schwach - Interhyp ist ein Vermittler, keine eigene Seite vorhanden;
/steuern-deutschland;1;1706;rente steuern rechner (473) | brutto netto rechner deutschland (355) | steuern auf rente berechnen (260);;LEITET BEREITS WEITER;
/provinzial-tierversicherung;1;1005;tierversicherung (1049) | tierversicherung vergleich (507) | günstige tierversicherung (354);;Provinzial hat KEINE Anbieterseite - anlegen oder 410;
/sofortrente;0;819;sofortrente vergleich (307);/versicherungen/altersvorsorge/rentenversicherung;gut;
/sitemap;2;437;;;410 - technische URL, kein Nutzerinhalt;
/steuerrechner;6;417;kfz steuerrechner (2127) | steuerrechner kfz (455) | steuerrechner rentner (289);/finanztools/rechner;mittel - Suchanfragen gemischt (kfz/rentner), Uebersicht aller 56 Rechner;
/versicherungen-vermieter-verwalter;0;412;kfz versicherungen im vergleich (350);;LEITET BEREITS WEITER;
/erbfolge;0;368;;/recht/ehe-familie/testament;gut;
/volltilgerdarlehen;0;308;;/finanzen/kredite-bauen/kredite;mittel;
/pflegetagegeldversicherung;0;300;;/versicherungen/pflegeversicherung/pflegezusatzversicherung;STARK;
/forward-darlehen;0;244;;/finanzen/kredite-bauen/kredite;mittel;
/gesundheitsfonds;0;232;;/versicherungen/krankenversicherung/zusatzbeitrag-krankenkasse;mittel;
/lohnsteuer-rechner;0;204;altersteilzeit rechner (2430) | autokredit rechner (2119) | brutto netto rechner (2036);/finanztools/rechner/brutto-netto;gut - Suchanfragen zielen auf Brutto-Netto;
/dokumente/steuerformulare-2019/Anlage_L_2019.pdf;2;202;steuerformulare 2024 zum ausdrucken (3530) | steuerformulare 2024 zum ausdrucken kostenlos (1724) | steuerformulare 2025 zum ausdrucken kostenlos (1421);;;
/newsletter;11;170;;;KEIN Ziel - 410 oder Startseite;
/unterstuetzungskasse;0;149;;/versicherungen/altersvorsorge/betriebliche-altersversorgung;STARK;
/provinzial-kfz-versicherung;0;123;kfz versicherung vergleich (1444) | lvm versicherung telefonnummer (861) | pferd versicherung (653);;Provinzial hat KEINE Anbieterseite - anlegen oder 410;
/restschuldversicherung;0;99;;;KEIN passendes Ziel - 410 oder neuer Beitrag;
/lpv-lebensversicherung-kuendigen;1;90;lebensversicherung rechner (1165) | allianz lebensversicherung kündigen (249) | lebensversicherung huk coburg test (241);;;
/grundbuch;0;78;;/finanzen/geldanlagen/anlageimmobilie;schwach;
/immobilienfonds;0;67;;/finanzen/geldanlagen/anlageimmobilie;gut;
/schuldverschreibung;0;67;;/finanzen/geldanlagen/wertpapierdepot;gut;
/provinzial-pflegezusatzversicherung;2;56;ergo pflegezusatzversicherung sinnvoll (362) | ergo pflegezusatzversicherung vergleich (331) | provinzial tierversicherung (201);;Provinzial hat KEINE Anbieterseite - anlegen oder 410;
# ── Nachtrag 30.08.2026 aus dem GSC-Export (docs/gsc_404_2026-08-30.csv) ──
# Diese URLs liefern 404, haben aber KEIN eindeutiges Ziel. Redaktionsentscheidung noetig:
# entweder passendes Ziel benennen oder bewusst auf 410 setzen (netlify.toml).
/betreuungsgeld;;;;;alte Leistung, 2015 abgeschafft - 410 denkbar;
/bauzinsen;0;2883;bauzinsen chart;;steht bereits oben in dieser Liste;
/privatinsolvenz;;;;;Thema ohne Artikel - Content-Luecke;
/forward-darlehen;;;;;Thema ohne Artikel - Content-Luecke;
/schuldverschreibung;;;;;Thema ohne Artikel - Content-Luecke;
/immobilienfonds;;;;;Thema ohne Artikel - Content-Luecke;
/gesundheitsfonds;;;;;Thema ohne Artikel - Content-Luecke;
/interhyp;;;;;Anbietername ohne Anbieterseite;
/pdf-unterhaltsvorschuss;;;;;altes PDF, Nachfolger pruefen;
/lohnabrechnung;;;;;Thema ohne Artikel;
# Alte News-/Blogbeitraege ohne Nachfolger - 410 waere sauberer als 404:
/mehrheit-der-wohnungen-werden-mit-gas-und-oel-beheizt;;;;;News 2021;
/deutsche-werden-aelter-als-angenommen;;;;;News;
/heizkosten-pellets-am-guenstigsten;;;;;News;
/das-machen-die-deutschen-im-netz;;;;;News;
/so-wird-das-jahr-2021-fuer-anleger;;;;;News 2021;
/steigende-preise-treffen-wirtschaft-ueberall;;;;;News;
/welche-vorsaetze-haben-sie-fuer-2021;;;;;News 2021;
/in-diesen-berufen-fehlen-azubis;;;;;News;
/digitale-echtheitszertifikate-nfts-als-renditebringer;;;;;News;
/gesetze-und-regelungen-aktuell-august-2025;;;;;News, veraltet;
/neue-blaue-kennzeichen-fuer-mofas-und-e-scooter-ab-maerz;;;;;News;
/kadewe-insolvenz;;;;;News;
