ID,Titel,Kategorie,URL
48673,"Sozialversicherungswerte 2026 (PDF)",Sozialversicherungen,finanzleser.de/sozialversicherungen/sozialversicherungswerte-2026-pdf
48670,"Steuerfreibeträge 2026 (PDF)",Steuerarten,finanzleser.de/steuerarten/steuerfreibetraege-2026-pdf
48594,"Neue Gesetze und Regelungen ab Januar 2026 – das ändert sich",Weitere Themen,finanzleser.de/weitere-themen/neue-gesetze-und-regelungen-ab-januar-2026-das-aendert-sich
48581,"Steuerformulare 2025 (PDF)",Steuererklärung,finanzleser.de/steuererklaerung/steuerformulare-2025-pdf
48464,"Steuerformulare 2025",Steuererklärung,finanzleser.de/steuererklaerung/steuerformulare-2025
48569,"Checkliste PKV-Beitragsoptimierung ohne Tarifwechsel",Krankenversicherung,finanzleser.de/krankenversicherung/checkliste-pkv-beitragsoptimierung-ohne-tarifwechsel
48567,"Checkliste: Nebenjob / Minijob – was muss ich melden?",Steuerpflichtige,finanzleser.de/steuerpflichtige/checkliste-nebenjob-minijob-was-muss-ich-melden
48564,"Checkliste: Steuererklärung für Selbstständige und Freelancer",Steuererklärung,finanzleser.de/steuererklaerung/checkliste-steuererklaerung-fuer-selbststaendige-und-freelancer
48561,"Checkliste: Steuererklärung – Jahres-Checkliste für Angestellte",Steuererklärung,finanzleser.de/steuererklaerung/checkliste-steuererklaerung-jahres-checkliste-fuer-angestellte
48559,"Checkliste: PKV Wechsel",Krankenversicherung,finanzleser.de/krankenversicherung/checkliste-pkv-wechsel
19083,"Düsseldorfer Tabelle 2026 (PDF)",Ehe & Familie,finanzleser.de/ehe-familie/duesseldorfer-tabelle-pdf
48475,"Steuererklärung 2025",Steuererklärung,finanzleser.de/steuererklaerung/steuererklaerung-2025
48468,"Steuerformulare 2024",Steuererklärung,finanzleser.de/steuererklaerung/steuerformulare-2024
27702,"Bauherrenhaftpflichtversicherung 2026",Sachversicherungen,finanzleser.de/sachversicherungen/bauherrenhaftpflichtversicherung
27699,"Cyberversicherung 2026",Sachversicherungen,finanzleser.de/sachversicherungen/cyberversicherung
27692,"Drohnenhaftpflichtversicherung 2026",Sachversicherungen,finanzleser.de/sachversicherungen/drohnenhaftpflichtversicherung
27691,"Lebensversicherung beitragsfrei stellen  2026",Altersvorsorge,finanzleser.de/altersvorsorge/lebensversicherung-beitragsfrei
27690,"Lebensversicherung verkaufen  2026",Altersvorsorge,finanzleser.de/altersvorsorge/lebensversicherung-verkaufen
27678,"Lebensversicherung kündigen  2026",Altersvorsorge,finanzleser.de/altersvorsorge/lebensversicherung-kuendigen
27663,"Fondsgebundene Lebensversicherung  2026",Altersvorsorge,finanzleser.de/altersvorsorge/fondsgebundene-lebensversicherung
27534,"Erwerbsunfähigkeitsrente  2026",Altersvorsorge,finanzleser.de/altersvorsorge/erwerbsunfaehigkeitsrente
27526,"Berufsunfähigkeitsversicherung  Beamte 2026",Berufsunfähigkeit,finanzleser.de/berufsunfaehigkeit/berufsunfaehigkeitsversicherung-fuer-beamte
27511,"Berufsunfähigkeitsversicherung  Vorerkrankungen 2026",Berufsunfähigkeit,finanzleser.de/berufsunfaehigkeit/berufsunfaehigkeitsversicherung-mit-vorerkrankungen
27510,"Berufsunfähigkeitsversicherung  Auszubildende 2026",Berufsunfähigkeit,finanzleser.de/berufsunfaehigkeit/berufsunfaehigkeitsversicherung-fuer-auszubildende
